Date,Sentiment_Score,Label
2023-06-15,0.9684,positive
2023-06-16,0.1792,positive
2023-06-17,0.5879,positive
2023-06-18,0.4085,positive
2023-06-19,0.5224,positive
2023-06-20,0.0368,positive
2023-06-21,0.6919,positive
2023-06-22,0.0986,positive
2023-06-23,0.803,positive
2023-06-24,0.1711,positive
2023-06-25,0.5283,positive
2023-06-26,0.4755,positive
2023-06-27,0.3553,positive
2023-06-28,-0.3519,negative
2023-06-29,0.6741,positive
2023-06-30,0.4462,positive
2023-07-01,0.4468,positive
2023-07-02,-0.0102,negative
2023-07-03,0.401,positive
2023-07-04,0.2129,positive
2023-07-05,0.3238,positive
2023-07-06,0.2561,positive
2023-07-07,0.2945,positive
2023-07-08,-0.055,negative
2023-07-09,-0.5407,negative
2023-07-10,0.0311,positive
2023-07-11,0.4817,positive
2023-07-12,0.5421,positive
2023-07-13,0.4149,positive
2023-07-14,0.0216,positive
2023-07-15,0.2875,positive
2023-07-16,0.0,neutral
2023-07-17,0.3743,positive
2023-07-18,0.805,positive
2023-07-19,0.3319,positive
2023-07-20,0.4708,positive
2023-07-21,0.1869,positive
2023-07-22,0.5516,positive
2023-07-23,0.3224,positive
2023-07-24,-0.0339,negative
2023-07-25,0.4897,positive
2023-07-26,0.4757,positive
2023-07-27,0.1879,positive
2023-07-28,0.6008,positive
2023-07-29,0.906,positive
2023-07-30,-0.1459,negative
2023-07-31,0.604,positive
2023-08-01,0.8436,positive
2023-08-02,0.9018,positive
2023-08-03,-0.0172,negative
2023-08-04,0.8443,positive
2023-08-05,-0.2054,negative
2023-08-06,0.3224,positive
2023-08-07,0.5057,positive
2023-08-08,0.0,neutral
2023-08-09,0.6173,positive
2023-08-10,0.6245,positive
2023-08-11,0.8419,positive
2023-08-12,0.5181,positive
2023-08-13,0.0809,positive
2023-08-14,0.3357,positive
2023-08-15,0.4241,positive
2023-08-16,0.5899,positive
2023-08-17,0.0192,positive
2023-08-18,-0.0507,negative
2023-08-19,0.7969,positive
