Date,Typical Price
2023-06-15,0.3313
2023-06-16,0.3351
2023-06-17,0.3412
2023-06-18,0.3385
2023-06-19,0.3372
2023-06-20,0.3438
2023-06-21,0.3659
2023-06-22,0.375
2023-06-23,0.3841
2023-06-24,0.4046
2023-06-25,0.3984
2023-06-26,0.3813
2023-06-27,0.3865
2023-06-28,0.369
2023-06-29,0.3668
2023-06-30,0.3785
2023-07-01,0.4072
2023-07-02,0.4076
2023-07-03,0.4065
2023-07-04,0.4024
2023-07-05,0.3891
2023-07-06,0.3823
2023-07-07,0.3784
2023-07-08,0.3859
2023-07-09,0.383
2023-07-10,0.3824
2023-07-11,0.3882
2023-07-12,0.3935
2023-07-13,0.4235
2023-07-14,0.4203
2023-07-15,0.4163
2023-07-16,0.4131
2023-07-17,0.4134
2023-07-18,0.4069
2023-07-19,0.4017
2023-07-20,0.4005
2023-07-21,0.4009
2023-07-22,0.3993
2023-07-23,0.4037
2023-07-24,0.3933
2023-07-25,0.385
2023-07-26,0.3877
2023-07-27,0.3869
2023-07-28,0.3874
2023-07-29,0.3901
2023-07-30,0.3899
2023-07-31,0.3846
2023-08-01,0.3826
2023-08-02,0.3774
2023-08-03,0.37
2023-08-04,0.3649
2023-08-05,0.3663
2023-08-06,0.3727
2023-08-07,0.3683
2023-08-08,0.3693
2023-08-09,0.3688
2023-08-10,0.3679
2023-08-11,0.3686
2023-08-12,0.3703
2023-08-13,0.3676
2023-08-14,0.3651
2023-08-15,0.3502
2023-08-16,0.3324
2023-08-17,0.3051
2023-08-18,0.3039
2023-08-19,0.3069
2023-08-20,0.3081
2023-08-21,0.3023
2023-08-22,0.3006
2023-08-23,0.3084
2023-08-24,0.3071
2023-08-25,0.3038
2023-08-26,0.3022
2023-08-27,0.2999
2023-08-28,0.2994
2023-08-29,0.3075
2023-08-30,0.3085
2023-08-31,0.2974
2023-09-01,0.2928
2023-09-02,0.2913
2023-09-03,0.291
2023-09-04,0.2926
2023-09-05,0.2924
2023-09-06,0.2942
2023-09-07,0.2967
2023-09-08,0.2951
2023-09-09,0.294
2023-09-10,0.2854
2023-09-11,0.2728
2023-09-12,0.2731
2023-09-13,0.2765
2023-09-14,0.2881
2023-09-15,0.2937
2023-09-16,0.3
2023-09-17,0.2925
2023-09-18,0.2918
2023-09-19,0.2972
2023-09-20,0.2979
2023-09-21,0.2964
2023-09-22,0.2936
2023-09-23,0.2945
2023-09-24,0.2951
2023-09-25,0.2974
2023-09-26,0.2964
2023-09-27,0.2957
2023-09-28,0.2972
2023-09-29,0.3125
2023-09-30,0.3106
2023-10-01,0.3194
2023-10-02,0.3152
2023-10-03,0.3055
2023-10-04,0.2968
2023-10-05,0.2952
2023-10-06,0.2984
2023-10-07,0.2995
2023-10-08,0.2973
2023-10-09,0.2855
2023-10-10,0.2787
2023-10-11,0.277
2023-10-12,0.2775
2023-10-13,0.2811
2023-10-14,0.2837
2023-10-15,0.2857
2023-10-16,0.2906
2023-10-17,0.2829
2023-10-18,0.279
2023-10-19,0.2769
2023-10-20,0.2846
2023-10-21,0.296
2023-10-22,0.3019
2023-10-23,0.3183
2023-10-24,0.3428
2023-10-25,0.3478
2023-10-26,0.3515
2023-10-27,0.343
2023-10-28,0.348
2023-10-29,0.3708
2023-10-30,0.3782
2023-10-31,0.3662
2023-11-01,0.3711
2023-11-02,0.4008
2023-11-03,0.3971
2023-11-04,0.4037
2023-11-05,0.4065
2023-11-06,0.4178
2023-11-07,0.4174
2023-11-08,0.4227
2023-11-09,0.4229
2023-11-10,0.4288
2023-11-11,0.4628
2023-11-12,0.4648
2023-11-13,0.4598
2023-11-14,0.4283
2023-11-15,0.4427
2023-11-16,0.4389
2023-11-17,0.4257
2023-11-18,0.4141
2023-11-19,0.4247
2023-11-20,0.4254
2023-11-21,0.3946
2023-11-22,0.3968
2023-11-23,0.4049
2023-11-24,0.4117
2023-11-25,0.4493
2023-11-26,0.4542
2023-11-27,0.445
2023-11-28,0.4374
2023-11-29,0.4395
2023-11-30,0.4345
2023-12-01,0.4366
2023-12-02,0.4519
2023-12-03,0.4519
2023-12-04,0.4541
2023-12-05,0.4662
2023-12-06,0.4757
2023-12-07,0.49
2023-12-08,0.5103
2023-12-09,0.5352
2023-12-10,0.5431
2023-12-11,0.4988
2023-12-12,0.4906
