Date,Sentiment_Score,Label
2023-06-15,0.1383,positive
2023-06-16,0.0672,neutral
2023-06-17,0.098,neutral
2023-06-18,0.1114,positive
2023-06-19,0.1959,positive
2023-06-20,0.0188,neutral
2023-06-21,0.1384,positive
2023-06-22,0.0211,neutral
2023-06-23,0.5353,positive
2023-06-24,0.0855,neutral
2023-06-25,0.1761,positive
2023-06-26,0.1189,positive
2023-06-27,0.1093,positive
2023-06-28,-0.2053,negative
2023-06-29,0.4362,positive
2023-06-30,0.17,positive
2023-07-01,0.2234,positive
2023-07-02,-0.0027,neutral
2023-07-03,0.1823,positive
2023-07-04,0.0694,neutral
2023-07-05,0.0985,neutral
2023-07-06,0.1152,positive
2023-07-07,0.1145,positive
2023-07-08,-0.0247,neutral
2023-07-09,-0.1864,negative
2023-07-10,0.0052,neutral
2023-07-11,0.2409,positive
2023-07-12,0.1876,positive
2023-07-13,0.0957,neutral
2023-07-14,0.0066,neutral
2023-07-15,0.1015,positive
2023-07-16,0.0,neutral
2023-07-17,0.1152,positive
2023-07-18,0.0894,neutral
2023-07-19,0.0996,neutral
2023-07-20,0.1345,positive
2023-07-21,0.0663,neutral
2023-07-22,0.1497,positive
2023-07-23,0.1209,positive
2023-07-24,-0.015,neutral
2023-07-25,0.2285,positive
2023-07-26,0.3171,positive
2023-07-27,0.1175,positive
2023-07-28,0.212,positive
2023-07-29,0.2265,positive
2023-07-30,-0.0486,neutral
2023-07-31,0.2416,positive
2023-08-01,0.444,positive
2023-08-02,0.2049,positive
2023-08-03,-0.0043,neutral
2023-08-04,0.1876,positive
2023-08-05,-0.077,neutral
2023-08-06,0.0921,neutral
2023-08-07,0.2107,positive
2023-08-08,0.0,neutral
2023-08-09,0.1158,positive
2023-08-10,0.2498,positive
2023-08-11,0.3238,positive
2023-08-12,0.2006,positive
2023-08-13,0.0231,neutral
2023-08-14,0.1119,positive
2023-08-15,0.1475,positive
2023-08-16,0.2648,positive
2023-08-17,0.0048,neutral
2023-08-18,-0.0257,neutral
2023-08-19,0.2125,positive
2023-08-20,0.0,neutral
2023-08-21,-0.0782,neutral
2023-08-22,0.0747,neutral
2023-08-23,0.0175,neutral
2023-08-24,0.114,positive
2023-08-25,0.1989,positive
2023-08-26,0.1617,positive
2023-08-27,0.0324,neutral
2023-08-28,0.1855,positive
2023-08-29,0.0367,neutral
2023-08-30,0.0408,neutral
2023-08-31,0.1864,positive
2023-09-01,0.1513,positive
2023-09-02,0.2795,positive
2023-09-03,0.0,neutral
2023-09-04,0.2001,positive
2023-09-05,-0.0072,neutral
2023-09-06,-0.0382,neutral
2023-09-07,0.2649,positive
2023-09-08,0.2255,positive
2023-09-09,0.0,neutral
2023-09-10,0.045,neutral
2023-09-11,0.0,neutral
2023-09-12,-0.0737,neutral
2023-09-13,0.3162,positive
2023-09-14,0.31,positive
2023-09-15,0.0919,neutral
2023-09-16,0.0544,neutral
2023-09-17,0.007,neutral
2023-09-18,0.4179,positive
2023-09-19,0.1454,positive
2023-09-20,0.0,neutral
2023-09-21,0.1109,positive
2023-09-22,0.1122,positive
2023-09-23,0.1489,positive
2023-09-24,0.1892,positive
2023-09-25,-0.0359,neutral
2023-09-26,0.2841,positive
2023-09-27,0.204,positive
2023-09-28,-0.1868,negative
2023-09-29,0.0,neutral
2023-09-30,0.2231,positive
2023-10-01,0.1318,positive
2023-10-02,0.042,neutral
2023-10-03,-0.0937,neutral
2023-10-04,0.0512,neutral
2023-10-05,0.318,positive
2023-10-06,0.0557,neutral
2023-10-07,0.1644,positive
2023-10-08,0.0,neutral
2023-10-09,0.0445,neutral
2023-10-10,0.4555,positive
2023-10-11,0.2991,positive
2023-10-12,0.2239,positive
2023-10-13,0.322,positive
2023-10-15,0.0,neutral
2023-10-16,0.2336,positive
2023-10-17,-0.273,negative
2023-10-18,0.1891,positive
2023-10-19,0.2788,positive
2023-10-20,0.261,positive
2023-10-21,0.4841,positive
2023-10-22,0.3177,positive
2023-10-23,0.5772,positive
2023-10-24,0.0985,neutral
2023-10-25,0.4039,positive
2023-10-26,0.1382,positive
2023-10-27,0.0567,neutral
2023-10-28,-0.2105,negative
2023-10-29,0.4898,positive
2023-10-30,0.0,neutral
2023-10-31,-0.0094,neutral
2023-11-01,0.4982,positive
2023-11-02,0.0338,neutral
2023-11-03,0.9875,positive
2023-11-04,0.0,neutral
2023-11-05,-0.26,negative
2023-11-06,0.3005,positive
2023-11-07,0.2631,positive
2023-11-08,0.1087,positive
2023-11-09,-0.1972,negative
2023-11-10,0.2766,positive
2023-11-11,0.1659,positive
2023-11-12,0.0954,neutral
2023-11-13,0.514,positive
2023-11-14,0.0,neutral
2023-11-15,0.271,positive
2023-11-16,-0.0602,neutral
2023-11-17,0.0038,neutral
2023-11-18,-0.0224,neutral
2023-11-19,0.4765,positive
2023-11-20,0.2388,positive
2023-11-21,-0.047,neutral
2023-11-22,0.0,neutral
2023-11-23,-0.0054,neutral
2023-11-24,0.2512,positive
2023-11-25,0.4912,positive
2023-11-26,0.6376,positive
2023-11-27,-0.0493,neutral
2023-11-28,0.0153,neutral
2023-11-29,-0.0409,neutral
2023-11-30,0.047,neutral
2023-12-01,0.1446,positive
2023-12-02,0.0,neutral
2023-12-03,-0.1701,negative
2023-12-04,-0.1529,negative
2023-12-05,-0.2391,negative
2023-12-06,0.2215,positive
2023-12-07,0.1728,positive
2023-12-08,-0.0778,neutral
2023-12-09,0.3114,positive
2023-12-10,0.1436,positive
2023-12-11,0.2435,positive
2023-12-12,0.1834,positive
2023-12-13,0.2413,positive
2023-12-14,0.2879,positive
2023-12-15,0.1037,positive
2023-12-16,0.0802,neutral
2023-12-17,-0.0177,neutral
2023-12-18,0.049,neutral
2023-12-19,0.1631,positive
2023-12-20,0.1612,positive
2023-12-21,0.368,positive
2023-12-22,0.1119,positive
2023-12-23,0.3358,positive
2023-12-24,0.282,positive
2023-12-25,0.6091,positive
2023-12-26,0.6184,positive
2023-12-27,0.1907,positive
2023-12-28,0.2636,positive
2023-12-29,0.0,neutral
2023-12-30,0.2953,positive
2023-12-31,0.4103,positive
2024-01-01,0.8713,positive
2024-01-02,0.4311,positive
2024-01-03,0.0704,neutral
2024-01-04,0.2088,positive
2024-01-05,0.0363,neutral
2024-01-06,0.1973,positive
2024-01-07,0.1282,positive
2024-01-08,0.2508,positive
2024-01-09,0.1597,positive
2024-01-10,0.2231,positive
2024-01-11,0.013,neutral
2024-01-12,0.0619,neutral
2024-01-13,0.4275,positive
2024-01-14,0.2338,positive
2024-01-15,0.0137,neutral
2024-01-16,0.1012,positive
2024-01-17,0.0743,neutral
2024-01-18,0.0059,neutral
2024-01-19,0.0,neutral
2024-01-20,0.2266,positive
2024-01-21,0.2561,positive
2024-01-22,-0.2712,negative
2024-01-23,0.1203,positive
2024-01-24,0.2703,positive
2024-01-25,0.3439,positive
2024-01-26,0.3015,positive
2024-01-27,0.1448,positive
2024-01-28,0.3418,positive
2024-01-29,0.2642,positive
2024-01-30,0.0914,neutral
2024-01-31,0.2208,positive
2024-02-01,0.0,neutral
2024-02-02,0.3538,positive
