Date,Open*,High,Low,Close**,Volume,Market Cap
"Jul 22, 2024",$0.3632,$0.3649,$0.342,$0.3437,"$51,200,198","$655,796,226"
"Jul 21, 2024",$0.3569,$0.3645,$0.3433,$0.3632,"$41,669,451","$693,061,887"
"Jul 20, 2024",$0.3585,$0.3642,$0.3556,$0.3569,"$36,785,820","$681,041,538"
"Jul 19, 2024",$0.3387,$0.3633,$0.3341,$0.3585,"$45,999,898","$684,122,618"
"Jul 18, 2024",$0.358,$0.3704,$0.3323,$0.3387,"$62,402,802","$646,438,931"
"Jul 17, 2024",$0.36,$0.3716,$0.3571,$0.358,"$42,716,675","$683,214,548"
"Jul 16, 2024",$0.3623,$0.3684,$0.3501,$0.36,"$50,628,050","$687,027,887"
"Jul 15, 2024",$0.342,$0.3626,$0.3403,$0.3623,"$43,075,830","$691,353,637"
"Jul 14, 2024",$0.3347,$0.3424,$0.3287,$0.342,"$30,599,192","$652,585,773"
"Jul 13, 2024",$0.3249,$0.336,$0.3226,$0.3347,"$29,802,777","$638,803,299"
"Jul 12, 2024",$0.3131,$0.3258,$0.3102,$0.3249,"$34,330,062","$619,945,982"
"Jul 11, 2024",$0.3122,$0.3251,$0.3109,$0.3131,"$36,706,120","$597,487,786"
"Jul 10, 2024",$0.3103,$0.3187,$0.3066,$0.3122,"$35,755,086","$595,726,313"
"Jul 09, 2024",$0.3039,$0.3119,$0.3026,$0.3103,"$42,729,988","$592,070,838"
"Jul 08, 2024",$0.2949,$0.3138,$0.2832,$0.3039,"$59,184,900","$579,985,001"
"Jul 07, 2024",$0.315,$0.3152,$0.2934,$0.2949,"$43,131,293","$562,727,576"
"Jul 06, 2024",$0.2915,$0.3189,$0.2903,$0.315,"$43,834,583","$601,132,257"
"Jul 05, 2024",$0.291,$0.2977,$0.259,$0.2915,"$85,450,686","$556,274,817"
"Jul 04, 2024",$0.3234,$0.3244,$0.2899,$0.2911,"$73,548,810","$555,511,486"
"Jul 03, 2024",$0.3438,$0.3455,$0.3224,$0.3234,"$43,708,652","$617,073,390"
"Jul 02, 2024",$0.3407,$0.3495,$0.3396,$0.3438,"$35,026,798","$656,123,112"
"Jul 01, 2024",$0.3385,$0.345,$0.3334,$0.3407,"$38,529,703","$650,245,173"
"Jun 30, 2024",$0.3301,$0.3395,$0.3278,$0.3386,"$36,326,250","$646,071,708"
"Jun 29, 2024",$0.3403,$0.3472,$0.33,$0.3301,"$30,228,971","$629,935,866"
"Jun 28, 2024",$0.3447,$0.3476,$0.3361,$0.3403,"$40,128,720","$649,355,101"
"Jun 27, 2024",$0.3357,$0.3457,$0.3324,$0.3447,"$38,939,108","$657,813,649"
"Jun 26, 2024",$0.3389,$0.3419,$0.3328,$0.3357,"$36,084,158","$640,658,527"
"Jun 25, 2024",$0.3329,$0.343,$0.3325,$0.3389,"$43,081,066","$646,729,946"
"Jun 24, 2024",$0.3253,$0.333,$0.3139,$0.333,"$59,901,689","$635,375,100"
"Jun 23, 2024",$0.3304,$0.3354,$0.3229,$0.3253,"$31,683,111","$620,800,421"
"Jun 22, 2024",$0.3326,$0.3342,$0.3278,$0.3304,"$32,271,365","$630,474,091"
"Jun 21, 2024",$0.3342,$0.3433,$0.331,$0.3325,"$47,331,217","$634,580,392"
"Jun 20, 2024",$0.3337,$0.3468,$0.3305,$0.3342,"$44,842,375","$637,688,587"
"Jun 19, 2024",$0.3248,$0.3364,$0.3212,$0.3337,"$46,653,321","$636,808,325"
"Jun 18, 2024",$0.3505,$0.351,$0.3055,$0.3249,"$84,553,957","$619,950,624"
"Jun 17, 2024",$0.385,$0.3865,$0.3477,$0.3506,"$61,153,759","$668,994,357"
"Jun 16, 2024",$0.3882,$0.3902,$0.3823,$0.385,"$35,805,684","$734,750,921"
"Jun 15, 2024",$0.3838,$0.3927,$0.3833,$0.3882,"$41,180,242","$740,856,952"
